RouteId,RouteVarId,RouteVarName,RouteVarShortName,RouteNo,StartStop,EndStop,Distance,Outbound,RunningTime
117,235,Lượt đi: Đồng Hòa - Cần Thạnh,Cần Thạnh,77,Đồng Hòa,Bến xe buýt Cần Giờ,17385.0,True,35
117,236,Lượt về: Cần Thạnh - Đồng Hòa,Đồng Hòa,77,Bến xe buýt Cần Giờ,Đồng Hòa,15000.0,False,35
118,1,Lượt đi: Bến xe buýt Thới An - Bến xe buýt Cầu Lớn,Cầu Lớn,78,Bến xe buýt Thới An,Bến xe buýt Cầu Lớn,19096.999999999993,True,60
118,2,Lượt về: Bến xe buýt Cầu Lớn - Bến xe buýt Thới An,Bến xe buýt Thới An,78,Bến xe buýt Cầu Lớn,Bến xe buýt Thới An,19173.999999999993,False,60
119,237,Lượt đi: Bến xe Củ Chi - Bến Dược,Đền Bến Dược,79,Bến xe Củ Chi,Bến Dược,25403.999999999996,True,45
119,238,Lượt về: Bến Dược - Bến xe Củ Chi,Bến xe Củ Chi,79,Bến Dược,Bến xe Củ Chi,25925.0,False,45
121,1,Lượt đi: Bến xe Chợ Lớn - Lê Minh Xuân - Xã Bình Lợi ,Lê Minh Xuân,81,Bến xe Chợ Lớn,Lê Minh Xuân - Xã Bình Lợi ,24269.999999999985,True,65
121,2,Lượt về: Lê Minh Xuân - Xã Bình Lợi  - Bến xe Chợ Lớn,Bến xe buýt Chợ Lớn,81,Lê Minh Xuân - Xã Bình Lợi ,Bến xe Chợ Lớn,24056.999999999993,False,65
125,1,Lượt đi: Bến xe An Sương - Cầu Lớn,Khu công nghiệp Nhị Xuân,85,Bến xe An Sương,Bến xe buýt Cầu Lớn,16394.000000000004,True,35
125,2,Lượt về: Cầu Lớn - Bến xe An Sương,Bến xe An Sương,85,Bến xe buýt Cầu Lớn,Bến xe An Sương,15977.000000000004,False,35
124,247,Lượt đi: Bến xe Chợ Lớn - Tân Túc,Tân Túc,84,Bến xe buýt Chợ Lớn - B,Tân Túc,17222.999999999996,True,47
124,248,Lượt về :Tân Túc - Bến xe Chợ Lớn,Bến xe buýt Chợ Lớn,84,Tân Túc,Bến xe buýt Chợ Lớn - B,17248.0,False,47
126,1,Lượt đi: Bến xe buýt Sài Gòn - Cầu Long Kiển,Cầu Long Kiểng,86,Bến xe buýt Sài Gòn,Cầu Long Kiển,12773.0,True,50
126,2,Lượt về: Cầu Long Kiển - Bến xe buýt Sài Gòn,Bến Thành,86,Cầu Long Kiển,Bến xe buýt Sài Gòn,13055.999999999996,False,50
127,253,Lượt đi: Bến xe Củ Chi - An Nhơn Tây,An Nhơn Tây,87,Bến xe Củ Chi,Bến xe buýt An Nhơn Tây,20424.000000000007,True,40
127,254,Lượt về: An Nhơn Tây - Bến xe Củ Chi,Bến xe Củ Chi,87,Bến xe buýt An Nhơn Tây,Bến xe Củ Chi,21360.999999999996,False,40
128,255,Lượt đi: Bến Thành - Chợ Long Phước,Chợ Long Phước,88,Bến xe buýt Sài Gòn,Chợ Long Phước,25274.999999999993,True,65
128,256,Lượt về: Chợ Long Phước - Bến Thành,Bến Thành,88,Chợ Long Phước,Bến xe buýt Sài Gòn,25506.0,False,65
129,1,Lượt đi: Đại học Nông Lâm - Bến tàu thủy Hiệp Bình Chánh,Bến Tàu Hiệp Bình Chánh,89,Đại học Nông Lâm,Bến tàu thủy Hiệp Bình Chánh,16806.0,True,55
129,2,Lượt về: Bến tàu thủy Hiệp Bình Chánh - Đại học Nông Lâm,Đại học Nông Lâm,89,Bến tàu thủy Hiệp Bình Chánh,Đại học Nông Lâm,16911.0,False,55
130,261,Lượt đi: Phà Bình Khánh - Cần Thạnh,Cần Thạnh,90,Bình Khánh,Bến xe buýt Cần Giờ,44219.0,True,75
130,262,Lượt về: Cần Thạnh - Phà Bình Khánh,Phà Bình Khánh,90,Bến xe buýt Cần Giờ,Bình Khánh,44242.0,False,75
131,261,Lượt đi: Bến xe Miền Tây - Chợ nông sản Thủ Đức,Chợ nông sản Thủ Đức,91,Bến xe Miền Tây,Chợ nông sản Thủ Đức,26052.999999999996,True,85
131,262,Lượt về: Chợ nông sản Thủ Đức - Bến xe Miền Tây,Bến xe Miền Tây,91,Chợ nông sản Thủ Đức,Bến xe Miền Tây,24030.0,False,85
133,1,Lượt đi: Bến xe buýt Sài Gòn - Bến xe Miền Đông mới,Bến xe Miền Đông mới,93,Bến xe buýt Sài Gòn,Bến xe Miền Đông mới,25344.000000000004,True,85
133,2,Lượt về: Bến xe Miền Đông mới - Bến xe buýt Sài Gòn,Bến Thành,93,Bến xe Miền Đông mới,Bến xe buýt Sài Gòn,26631.000000000004,False,85
137,273,Lượt đi: Chợ Thạnh Mỹ Lợi - Bến Xe Buýt ÐH Quốc Gia,Đại học Quốc gia,99,Chợ Thạnh Mỹ Lợi,Bến Xe Buýt ÐH Quốc Gia,26181.0,True,65
137,274,Lượt về: Bến Xe Buýt ÐH Quốc Gia - Chợ Thạnh Mỹ Lợi,Chợ Thạnh Mỹ Lợi,99,Bến Xe Buýt ÐH Quốc Gia,Chợ Thạnh Mỹ Lợi,29171.000000000004,False,65
134,267,Lượt đi: Bến xe Chợ Lớn - Bến xe Củ Chi,Bến xe Củ Chi,94,Bến xe Chợ Lớn,Bến xe Củ Chi,35662.99999999999,True,75
134,268,Lượt về: Bến xe Củ Chi - Bến xe Chợ Lớn,Bến xe Chợ Lớn,94,Bến xe Củ Chi,Bến xe Chợ Lớn,34876.99999999999,False,75
210,1,Lượt đi,THẢO CẦM VIÊN,D1,Bến xe buýt Sài Gòn,Thảo cầm viên,6264.000000000001,True,30
210,2,Lượt về,CÔNG VIÊN 23/9,D1,Thảo cầm viên,Bến xe buýt Sài Gòn,4737.0,False,30
212,1,Lượt đi,Lượt đi,D2,Paris Baguette,Cressent mall,3677.0000000000005,True,14
212,2,lượt về,lượt về,D2,Cressent mall,Paris Baguette,3484.0,False,14
211,1,Lượt đi,Cresent Mall,D3,Ủy ban Tân Phú,Cressent mall,6367.000000000001,True,14
211,2,Lượt về,Riverside Resident,D3,Cressent mall,Ủy ban Tân Phú,5856.0,False,14
336,1,Lộ trình chính (đi Nguyễn Huệ),Lộ trình chính (đi Nguyễn Huệ),DL01,Công xã Paris,Công xã Paris,10408.000000000004,True,60
328,2,Lượt về,TRường THCS Trung An,HS-109,THCS Trung An,Duong Bau Tram,3109.0,False,8
292,1,Lượt đi,Trường Tiểu Học An Nghĩa,HS-72,Tam Thon Hiep,tieu Hoc An Nghia,2227.0,True,20
292,2,Lượt về,Tam Thôn Hiệp,HS-72,tieu Hoc An Nghia,Tam Thon Hiep,2226.0,False,20
294,1,Lượt đi,Trường Tiểu Học Tam Thôn Hiệp,HS-74,Tam Thon Hiep,Tieu Hoc Tam Thon Hiep,2170.0,True,20
294,2,Lượt về,Tam Thôn Hiệp,HS-74,Tieu Hoc Tam Thon Hiep,Tam Thon Hiep,2166.0,False,20
293,1,Lượt đi,Trường Tiểu Học An Nghĩa,HS-73,Rung Sac,tieu Hoc An Nghia,1680.0,True,20
293,2,Lượt về,Rùng Sác,HS-73,tieu Hoc An Nghia,Rung Sac,1616.0,False,20
296,1,Lượt đi,Trường THCS Tam Thôn Hiệp,HS-76,Tam Thon Hiep,THCS Tam Thon Hiep,1759.0,True,20
296,2,Lượt về,Tam Thôn Hiệp,HS-76,THCS Tam Thon Hiep,Tam Thon Hiep,1743.0,False,20
295,1,Lượt đi,Trường Tiểu Học Tam Thôn Hiệp,HS-75,Trung Tam Hoc Cong Dong,Tieu Hoc Tam Thon Hiep,2137.0,True,20
295,2,Lượt về,Nguyễn Công Bao,HS-75,Tieu Hoc Tam Thon Hiep,Trung Tam Hoc Cong Dong,2092.0,False,20
297,1,Lượt đi,Trường THCS Tam Thôn Hiệp,HS-77,Tam Thon Hiep,THCS Tam Thon Hiep,2608.0,True,20
297,2,Lượt về,Tam Thôn Hiệp(gần nhà thờ thánh Giuse),HS-77,THCS Tam Thon Hiep,Tam Thon Hiep,2611.0,False,20
299,1,Lượt đi,Trường THCS Lý Nhơn,HS-79,Duong Van Hanh ,THCS Ly Nhon,2768.0,True,15
299,2,Lượt về,Dương Văn Hạnh (hướng từ cầu vàm sát),HS-79,THCS Ly Nhon,Duong Van Hanh ,2749.0,False,15
298,1,Lượt đi,Trường THCS Tam Thôn Hiệp,HS-78,Trung Tam Hoc Cong Dong,THCS Tam Thon Hiep,2602.0,True,20
298,2,Lượt về,Trung Tâm Học Tập Cộng Đồng,HS-78,THCS Tam Thon Hiep,Trung Tam Hoc Cong Dong,2574.0,False,20
300,1,Lượt đi,Trường THCS Lý Nhơn,HS-80,Duong Van Hanh ,THCS Ly Nhon,2697.0,True,15
300,2,Lượt về,Dương Văn Hạnh,HS-80,THCS Ly Nhon,Duong Van Hanh ,2688.0,False,15
301,1,Lượt đi,Trường THCS Lý Nhơn,HS-81,Ly Nhon,THCS Ly Nhon,7516.0,True,15
301,2,Lượt về,Lý Nhơn,HS-81,THCS Ly Nhon,Ly Nhon,7536.0,False,15
302,1,Lượt đi,Trường THCS Bình Khánh,HS-82,Tran Quang Dao,THCS Binh Khanh,2871.0,True,20
302,2,Lượt về,Trần Quang Đạo (ngã tư Trần Quang Đạo giao Rùng Sác),HS-82,THCS Binh Khanh,Tran Quang Dao,2863.0,False,20
303,1,Lượt đi,Trường THCS Bình Khánh,HS-83,Ha Quang Voc,THCS Binh Khanh,3202.0,True,20
303,2,Lượt về,Hà Quang Vóc,HS-83,THCS Binh Khanh,Ha Quang Voc,2773.0,False,20
305,1,Lượt đi,Trường THPT An Nghĩa,HS-85,Tam Thon Hiep,THPT An Nghia,3598.0,True,20
305,2,Lượt về,Tam Thôn Hiệp,HS-85,THPT An Nghia,Tam Thon Hiep,3631.0,False,20
304,1,Lượt đi,Trường THCS Bình Khánh,HS-84,Ba Xan,THCS Binh Khanh,6025.0,True,20
304,2,Lượt về,Bà Xán,HS-84,THCS Binh Khanh,Ba Xan,4750.0,False,20
306,1,Lượt đi,Trường Tiểu Học Qui Đức,HS-86,Quoc Lo 50,TH Qui Duc,2274.0,True,20
306,2,Lượt về,Quốc Lộ 50,HS-86,TH Qui Duc,Quoc Lo 50,2272.0,False,20
307,1,Lượt đi,Trường Tiểu Học Qui Đức,HS-87,Bui Van Su,TH Qui Duc,1758.0,True,20
307,2,Lượt về,Bùi Văn Sự,HS-87,TH Qui Duc,Bui Van Su,1754.0,False,20
308,1,Lượt đi,Trường Tiểu Học Qui Đức,HS-88,Nguyen Van Long,TH Qui Duc,1784.0,True,20
308,2,Lượt về,Nguyễn Văn Long,HS-88,TH Qui Duc,Nguyen Van Long,1797.0,False,20
310,1,Lượt đi,Cung Văn Hóa Lao Động,HS-90,THCS Bach Dang,Huyen Tran Cong Chua,3174.0,True,20
310,2,Lượt về,Trường THCS Bạch Đằng,HS-90,Huyen Tran Cong Chua,THCS Bach Dang,3714.0,False,20
311,1,Lượt đi,Cung Văn Hóa Lao Động,HS-91,THCS Hai Ba Trung,Huyen Tran Cong Chua,2811.0,True,20
311,2,Lượt về,Trường THCS Hai Bà Trưng,HS-91,Huyen Tran Cong Chua,THCS Hai Ba Trung,3758.0,False,20
312,1,Lượt đi,Trường Tiểu Học Nguyễn Bỉnh Khiêm,HS-92,Le Van Thinh,TH Nguyen Bỉnh Khiem,18552.0,False,30
312,2,Lượt về,Lê Văn Thịnh,HS-92,TH Nguyen Bỉnh Khiem,Le Van Thinh,20705.0,True,20
314,1,Lượt đi,Chung Cư Hoàng Anh Gia Lai,HS-94,TH Nguyen Bỉnh Khiem,Nguyen Van Huong,12253.0,True,90
314,2,Lượt về,Trường Tiểu Học Nguyễn Bỉnh Khiêm,HS-94,Nguyen Van Huong,TH Nguyen Bỉnh Khiem,11142.0,False,80
313,1,Lượt đi,Trường Tiểu Học Nguyễn Bỉnh Khiêm,HS-93,Thao Dien,TH Nguyen Bỉnh Khiem,12986.0,True,90
313,2,Lượt về,Thảo Điền,HS-93,TH Nguyen Bỉnh Khiem,Thao Dien,7277.0,False,80
337,1,Lượt đi: Ga tàu thuỷ Bạch Đằng - Ga tàu thuỷ Linh Đông,Linh Đông,SWB1,Ga tàu thuỷ Bạch Đằng,Ga tàu thuỷ Linh Đông,11680.000000000002,True,52
337,2,Lượt về: Ga tàu thuỷ Linh Đông - Ga tàu thuỷ Bạch Đằng,Bạch Đằng,SWB1,Ga tàu thuỷ Linh Đông,Ga tàu thuỷ Bạch Đằng,11785.0,False,52
