RouteId,RouteVarId,StopId,Code,Name,StopType,Zone,Ward,AddressNo,Street,SupportDisability,Status,Lng,Lat,Search,Routes
13,25,878,HBC 011,Chung cư Conic,Trụ dừng,Huyện Bình Chánh,None,Cột đèn 184,Nguyễn Văn Linh,,Đang khai thác,106.64227,10.709506,CcC Cd184 NVL,"102, 22, 45"
13,25,880,HBC 012,Khu dân cư 13A,Trụ dừng,Huyện Bình Chánh,None,Cột đèn 192,Nguyễn Văn Linh,,Đang khai thác,106.639502,10.707397,Kdc13A Cd192 NVL,"102, 22, 45"
13,25,882,HBC 013,Trịnh Quang Nghị,Trụ dừng,Huyện Bình Chánh,None,Trụ điện 57P (Cột đèn 210),Nguyễn Văn Linh,,Đang khai thác,106.634567,10.703602,TQN Td57P(d210) NVL,"102, 22, 45"
13,25,886,HBC 014,Kim Hằng,Trụ dừng,Huyện Bình Chánh,None,Cột đèn 216-Nhôm Kim Hằng,Nguyễn Văn Linh,,Đang khai thác,106.631713,10.701414,KH Cd216-NhomKH NVL,"102, 22"
13,25,887,HBC 015,Cầu sập,Trụ dừng,Huyện Bình Chánh,None,Cột đèn 232,Nguyễn Văn Linh,,Đang khai thác,106.627235,10.69925,Cs Cd232 NVL,"102, 22"
13,25,883,HBC 016,Cầu Cần Giuộc,Trụ dừng,Huyện Bình Chánh,None,Cột đèn 249,Nguyễn Văn Linh,,Đang khai thác,106.61828,10.696855,CCG Cd249 NVL,"102, 22"
13,25,885,HBC 017,Đường vào Chợ Bình Điền,Trụ dừng,Huyện Bình Chánh,None,Cột đèn 258,Nguyễn Văn Linh,,Đang khai thác,106.612183,10.695133,DvCBD Cd258 NVL,"102, 22"
13,25,889,HBC 452,Trạm thu phí Chợ Bình Điền,Ô sơn,Huyện Bình Chánh,None,Đối diện công ty bất động sản,Đường vào Chợ ĐM Bình Điền,,Đang khai thác,106.609359,10.698405,TtpCBD Ddctbds DvCDBD,"102, 22"
13,25,891,HBC 453,Chợ Bình Điền,Ô sơn,Huyện Bình Chánh,None,Quán ăn Chợ Bình Điền,Đường vào Chợ ĐM Bình Điền,,Đang khai thác,106.608372,10.701984,CBD QaCBD DvCDBD,"102, 22"
13,25,893,HBC 451,Trạm thu phí Chợ Bình Điền,Ô sơn,Huyện Bình Chánh,None,Công ty bất động sản,Đường vào Chợ ĐM Bình Điền,,Đang khai thác,106.609075,10.698547,TtpCBD Ctbds DvCDBD,"102, 22"
13,25,888,HBC 018,Khu dân cư Nguyễn Minh,Trụ dừng,Huyện Bình Chánh,None,Cột đèn 265,Nguyễn Văn Linh,,Đang khai thác,106.60856,10.694145,KdcNM Cd265 NVL,"102, 22"
13,25,892,HBC 019,Căn hộ Hoàng Quân,Trụ dừng,Huyện Bình Chánh,None,Cột đèn 276,Nguyễn Văn Linh,,Đang khai thác,106.605682,10.69335,ChHQ Cd276 NVL,"102, 22"
13,25,894,HBC 020,Ấp 2,Trụ dừng,Huyện Bình Chánh,None,Cột đèn 291,Nguyễn Văn Linh,,Đang khai thác,106.600937,10.692048,A2 Cd291 NVL,"102, 22"
13,25,895,HBC 021,Quốc lộ 1A,Trụ dừng,Huyện Bình Chánh,None,Cột đèn 302,Nguyễn Văn Linh,,Đang khai thác,106.596169,10.69075,Ql1A Cd302 NVL,"102, 22"
13,25,702,HBC 388,Nút giao Bình Thuận,Trụ dừng,Huyện Bình Chánh,Thị trấn Tân Túc,Cột điện T86T (194A/8),Quốc lộ 1A,,Đang khai thác,106.595428,10.691816,NgBT CdT( Ql1A,"09, 102, 22, 62-1, 62-10, 62-2, 62-8"
13,25,704,HBC 389,Nguyễn Hữu Trí,Trụ dừng,Huyện Bình Chánh,None,Cột điện T65T (45/2A),Quốc lộ 1A,,Đang khai thác,106.597059,10.697161,NHT CdT( Ql1A,"09, 102, 62-1, 62-10, 62-2, 62-8, 84"
13,25,705,HBC 390,Dương Đình Cúc,Trụ dừng,Huyện Bình Chánh,None,C14/17,Quốc lộ 1A,,Đang khai thác,106.598276,10.706422,DDC C Ql1A,"09, 101, 102, 62-1, 62-10, 62-2, 62-8, 84"
13,25,706,HBC 392,Hưng Nhơn,Nhà chờ,Huyện Bình Chánh,Xã Tân Kiên,C12/3,Quốc lộ 1A,,Đang khai thác,106.599339,10.71202,HN C Ql1A,"09, 101, 102, 62-1, 62-10, 62-2, 62-8, 84"
13,25,711,HBC 393,Trần Đại Nghĩa,Trụ dừng,Huyện Bình Chánh,None,591B (cầu bộ hành),Quốc lộ 1A,,Đang khai thác,106.600878,10.720838,TDN 591B(bh Ql1A,"09, 102, 62-1, 62-10, 62-2, 62-8, 84"
